Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
51,No,Non-Travel,369,Research & Development,29,2,Medical,1,21,3,Male,45,3,4,Laboratory Technician,3,Married,16502,20314,6,Y,No,16,3,3,80,0,27,2,3,11,1,4,3
35,No,Travel_Frequently,1068,Research & Development,5,3,Life Sciences,1,22,4,Male,79,2,4,Laboratory Technician,1,Married,10149,15451,2,Y,No,11,4,3,80,0,15,1,2,7,3,3,4
38,Yes,Travel_Rarely,586,Research & Development,1,1,Medical,1,23,2,Male,75,3,1,Manufacturing Director,1,Single,2699,20796,4,Y,No,11,3,4,80,1,22,3,2,2,0,0,1
23,No,Travel_Rarely,997,Research & Development,1,2,Medical,1,24,4,Male,52,2,1,Manager,2,Single,1735,5798,2,Y,No,11,3,2,80,0,1,4,4,0,0,0,0
32,No,Travel_Rarely,874,Research & Development,20,1,Technical Degree,1,25,2,Female,32,4,1,Laboratory Technician,4,Single,4680,8281,4,Y,No,17,3,3,80,0,16,1,1,4,3,1,2
38,Yes,Travel_Frequently,186,Research & Development,29,4,Life Sciences,1,26,4,Male,80,3,2,Research Scientist,4,Married,4863,6151,5,Y,Yes,11,3,3,80,0,19,4,2,12,1,5,5
26,No,Travel_Rarely,961,Research & Development,7,2,Other,1,27,2,Male,71,3,1,Healthcare Representative,3,Single,2362,19208,0,Y,Yes,13,3,4,80,1,0,4,4,0,0,0,0
41,No,Travel_Frequently,1494,Research & Development,29,2,Technical Degree,1,28,3,Male,74,4,4,Research Scientist,1,Married,13431,25974,5,Y,No,15,3,3,80,1,21,3,1,14,6,3,3
31,Yes,Travel_Rarely,571,Research & Development,8,1,Other,1,29,2,Male,47,1,1,Laboratory Technician,1,Married,4355,26942,1,Y,No,11,3,4,80,1,3,3,2,2,0,0,0
34,Yes,Non-Travel,870,Research & Development,11,1,Life Sciences,1,30,2,Male,35,2,1,Healthcare Representative,4,Married,2467,11334,2,Y,No,14,3,2,80,1,3,3,3,2,0,1,0
31,No,Travel_Rarely,713,Research & Development,1,1,Medical,1,31,1,Female,83,4,1,Manager,2,Single,1969,2680,3,Y,No,14,3,4,80,1,5,2,4,3,1,1,1
55,No,Travel_Rarely,1483,Research & Development,1,3,Technical Degree,1,32,3,Male,68,2,4,Manufacturing Director,4,Single,15773,23313,5,Y,Yes,11,3,2,80,0,27,3,4,2,0,0,0
37,No,Non-Travel,1477,Research & Development,29,3,Medical,1,33,3,Male,79,4,4,Manufacturing Director,1,Married,13021,12811,4,Y,No,11,3,3,80,1,12,1,2,2,1,0,0
27,No,Non-Travel,130,Research & Development,3,2,Technical Degree,1,34,2,Male,33,4,3,Healthcare Representative,3,Divorced,8355,10629,2,Y,No,12,3,4,80,1,9,1,3,4,2,0,1
45,Yes,Travel_Rarely,1105,Sales,4,1,Medical,1,35,3,Male,84,1,1,Manager,2,Married,2878,9019,3,Y,No,11,3,3,80,1,21,3,3,8,5,1,4
25,Yes,Travel_Frequently,1030,Research & Development,1,3,Life Sciences,1,36,3,Male,32,2,1,Research Scientist,3,Married,2442,12536,2,Y,Yes,14,3,3,80,0,5,4,3,0,0,0,0
39,Yes,Travel_Rarely,1296,Sales,24,4,Technical Degree,1,37,4,Male,48,2,5,Sales Representative,3,Divorced,16466,4284,4,Y,Yes,18,3,3,80,0,23,6,2,8,2,2,4
18,Yes,Travel_Rarely,351,Research & Development,18,1,Other,1,38,3,Male,56,2,1,Healthcare Representative,3,Single,2500,14332,2,Y,Yes,17,3,3,80,0,0,3,4,0,0,0,0
24,No,Travel_Rarely,529,Sales,3,3,Medical,1,39,3,Female,35,3,3,Sales Representative,4,Married,6931,26343,2,Y,Yes,11,3,4,80,0,0,3,2,0,0,0,0
39,No,Travel_Rarely,1052,Research & Development,19,2,Technical Degree,1,40,2,Female,64,3,4,Research Scientist,3,Married,11745,6787,3,Y,No,11,3,2,80,0,19,4,3,2,0,0,0
44,No,Travel_Rarely,527,Research & Development,9,1,Medical,1,41,4,Male,35,3,3,Laboratory Technician,3,Single,9272,16969,5,Y,No,20,3,4,80,0,24,1,3,15,13,5,9
39,No,Travel_Rarely,1184,Research & Development,3,3,Technical Degree,1,42,2,Female,55,4,4,Research Director,3,Divorced,17240,7729,5,Y,No,11,4,2,80,0,21,0,2,6,2,0,3
36,Yes,Travel_Frequently,1374,Research & Development,7,1,Technical Degree,1,43,3,Female,79,3,1,Research Director,2,Married,2538,20375,3,Y,No,18,4,2,80,0,9,4,3,4,1,1,0
34,Yes,Travel_Rarely,498,Sales,1,1,Other,1,44,2,Female,40,3,1,Sales Representative,1,Single,1984,4720,1,Y,No,16,3,3,80,3,1,2,4,0,0,0,0
23,No,Travel_Rarely,1138,Research & Development,4,1,Technical Degree,1,45,1,Male,74,4,1,Healthcare Representative,2,Single,2175,7084,1,Y,No,11,3,2,80,0,0,3,1,0,0,0,0
30,Yes,Travel_Rarely,450,Sales,4,1,Medical,1,46,2,Female,89,2,2,Sales Executive,2,Married,5388,21237,2,Y,No,12,3,3,80,0,11,2,1,2,0,0,0
33,No,Travel_Rarely,751,Research & Development,1,1,Life Sciences,1,47,4,Female,89,3,2,Healthcare Representative,4,Married,6409,5694,2,Y,No,13,3,3,80,0,11,2,3,6,3,4,0
47,No,Travel_Rarely,1030,Research & Development,1,3,Life Sciences,1,48,1,Male,50,4,4,Research Director,3,Divorced,11186,12147,3,Y,Yes,11,3,2,80,0,23,3,2,6,3,0,1
40,No,Non-Travel,1401,Sales,3,1,Medical,1,49,3,Male,53,4,3,Sales Executive,2,Married,7982,5851,4,Y,No,11,3,3,80,1,24,3,3,5,3,0,0
20,No,Travel_Rarely,1037,Research & Development,14,1,Technical Degree,1,50,1,Female,30,4,1,Manufacturing Director,1,Married,3536,24445,2,Y,No,12,4,3,80,0,0,2,3,0,0,0,0
40,No,Travel_Rarely,798,Sales,1,3,Technical Degree,1,51,4,Female,73,3,4,Sales Representative,2,Single,8052,10415,5,Y,Yes,16,3,1,80,0,18,1,1,4,1,0,1
33,No,Travel_Rarely,510,Research & Development,17,1,Technical Degree,1,52,1,Male,32,2,1,Manager,2,Single,1963,3797,1,Y,No,12,3,2,80,0,1,1,2,0,0,0,0
31,No,Travel_Rarely,193,Research & Development,2,3,Medical,1,53,3,Female,58,3,4,Research Scientist,2,Married,7949,4137,3,Y,No,11,3,2,80,0,6,1,2,3,1,0,1
43,No,Travel_Rarely,1499,Sales,12,3,Life Sciences,1,54,2,Male,96,3,4,Manager,2,Divorced,6273,4906,6,Y,Yes,14,3,2,80,1,25,1,3,15,10,7,14
47,No,Travel_Rarely,801,Research & Development,5,2,Life Sciences,1,55,4,Male,53,3,2,Research Scientist,2,Married,4596,21172,4,Y,No,11,3,3,80,2,21,6,4,2,1,1,0
46,Yes,Travel_Rarely,751,Research & Development,1,3,Other,1,56,1,Male,63,1,4,Research Scientist,2,Married,8966,8893,4,Y,No,14,3,4,80,1,25,4,4,9,0,4,4
29,No,Travel_Frequently,602,Research & Development,6,2,Medical,1,57,4,Male,100,3,2,Research Scientist,2,Married,4614,11897,1,Y,No,16,3,3,80,0,8,2,3,2,0,0,0
34,No,Travel_Rarely,277,Research & Development,10,2,Other,1,58,3,Female,91,3,1,Research Director,3,Married,3604,15195,1,Y,No,11,3,3,80,1,8,1,2,1,0,0,0
40,No,Non-Travel,998,Human Resources,8,3,Other,1,59,3,Male,63,1,5,Human Resources,3,Single,12237,5653,6,Y,Yes,11,3,3,80,0,21,4,4,4,1,1,0
46,No,Non-Travel,1376,Sales,1,3,Medical,1,60,1,Female,86,2,4,Manager,3,Married,9136,20628,4,Y,No,11,3,4,80,0,30,3,2,9,7,1,6
32,Yes,Travel_Rarely,709,Sales,1,1,Marketing,1,61,4,Male,45,3,2,Sales Executive,3,Married,3160,8950,4,Y,No,11,3,4,80,0,13,3,3,2,0,0,1
35,No,Travel_Rarely,313,Research & Development,3,4,Medical,1,62,3,Male,39,3,2,Research Director,4,Married,5017,15890,3,Y,Yes,11,3,2,80,0,8,6,3,5,2,2,1
26,No,Travel_Rarely,1310,Human Resources,4,2,Human Resources,1,63,3,Male,93,3,2,Manager,3,Married,4791,12311,1,Y,No,14,3,2,80,1,0,0,3,0,0,0,0
26,No,Travel_Frequently,1081,Research & Development,1,2,Technical Degree,1,64,3,Male,48,3,1,Research Scientist,3,Single,3686,5472,0,Y,No,11,3,2,80,1,0,1,4,0,0,0,0
45,No,Travel_Rarely,216,Research & Development,2,1,Life Sciences,1,65,4,Female,87,3,2,Laboratory Technician,3,Married,3055,25443,4,Y,No,13,3,3,80,0,20,2,3,12,2,1,3
50,No,Travel_Frequently,1425,Research & Development,1,2,Other,1,66,3,Male,50,2,3,Laboratory Technician,3,Married,8453,2503,6,Y,Yes,15,3,4,80,2,30,3,4,8,2,2,0
36,No,Travel_Frequently,1136,Research & Development,1,2,Other,1,67,4,Female,45,3,2,Manufacturing Director,4,Single,5572,26753,6,Y,No,11,3,3,80,1,18,1,3,1,0,0,0
47,Yes,Travel_Rarely,1250,Research & Development,19,1,Medical,1,68,2,Male,67,1,2,Manufacturing Director,2,Married,5148,25498,3,Y,No,11,3,4,80,0,16,3,2,5,3,1,3
40,No,Travel_Frequently,1084,Sales,19,1,Medical,1,69,3,Male,64,1,1,Sales Representative,4,Married,5008,5252,4,Y,Yes,11,4,2,80,0,22,3,4,4,3,1,3
31,No,Travel_Rarely,1331,Research & Development,29,1,Other,1,70,2,Male,83,3,1,Manufacturing Director,2,Divorced,1325,10988,5,Y,No,11,3,4,80,0,11,3,1,2,0,0,0
40,No,Non-Travel,256,Sales,12,2,Other,1,71,3,Female,44,3,2,Sales Executive,3,Divorced,3273,7610,6,Y,No,21,3,3,80,1,18,3,3,11,7,1,1
52,No,Travel_Frequently,118,Sales,10,2,Technical Degree,1,72,3,Male,51,1,5,Sales Executive,3,Married,20000,14985,5,Y,No,11,3,3,80,0,32,2,3,3,0,1,1
37,No,Travel_Rarely,662,Sales,4,2,Technical Degree,1,73,4,Female,66,3,3,Sales Executive,3,Single,6422,5379,5,Y,Yes,15,3,4,80,3,20,1,4,9,2,2,5
52,No,Travel_Rarely,1290,Sales,1,3,Marketing,1,74,2,Female,49,4,5,Sales Executive,1,Married,13557,6849,7,Y,No,12,3,2,80,1,29,3,4,7,2,3,3
18,No,Travel_Frequently,1205,Sales,5,2,Medical,1,75,4,Male,69,3,2,Sales Representative,3,Married,3997,13016,0,Y,No,11,3,3,80,0,0,2,4,0,0,0,0
45,Yes,Travel_Rarely,785,Research & Development,29,3,Technical Degree,1,76,2,Male,90,2,2,Laboratory Technician,2,Married,3787,10735,4,Y,Yes,21,3,2,80,1,20,2,2,6,2,3,4
38,No,Travel_Rarely,1375,Sales,14,2,Technical Degree,1,77,3,Male,56,2,3,Sales Executive,3,Single,8190,12620,2,Y,No,14,3,4,80,2,14,3,4,4,1,1,3
34,No,Travel_Rarely,1436,Research & Development,9,2,Medical,1,78,4,Female,68,3,2,Manager,1,Married,3573,24708,2,Y,No,11,3,2,80,2,5,1,4,2,0,0,0
38,No,Travel_Rarely,1057,Research & Development,5,2,Medical,1,79,3,Male,49,3,2,Manufacturing Director,3,Married,4811,22281,4,Y,No,22,3,2,80,2,13,3,3,5,2,1,1
18,No,Travel_Frequently,774,Research & Development,1,1,Technical Degree,1,80,4,Male,61,4,1,Healthcare Representative,4,Married,1009,8240,2,Y,No,25,3,2,80,2,0,3,4,0,0,0,0
35,Yes,Travel_Rarely,679,Research & Development,12,1,Medical,1,81,2,Male,56,2,3,Laboratory Technician,2,Divorced,5707,10732,3,Y,No,19,3,3,80,1,17,4,3,8,3,2,2
40,Yes,Travel_Rarely,602,Research & Development,6,2,Other,1,82,1,Female,65,1,4,Laboratory Technician,2,Married,10235,7991,9,Y,No,11,3,2,80,0,24,3,2,12,7,9,3
51,No,Travel_Rarely,675,Sales,7,3,Marketing,1,83,3,Female,37,2,5,Sales Representative,3,Married,19002,10111,6,Y,No,18,3,3,80,1,30,4,4,5,2,1,2
32,No,Travel_Rarely,810,Sales,10,2,Technical Degree,1,84,3,Female,87,3,2,Sales Executive,3,Married,3354,20215,0,Y,No,11,3,2,80,1,2,1,4,1,0,0,0
29,Yes,Travel_Rarely,341,Human Resources,10,2,Human Resources,1,85,2,Female,94,3,3,Manager,3,Single,9899,9824,2,Y,No,11,3,2,80,0,6,2,3,2,0,0,1
32,Yes,Travel_Rarely,1081,Research & Development,7,1,Medical,1,86,2,Male,73,3,1,Laboratory Technician,1,Married,3331,19869,3,Y,No,12,3,1,80,1,8,6,2,1,0,0,0
46,No,Travel_Rarely,517,Sales,16,2,Life Sciences,1,87,4,Male,94,2,5,Sales Representative,3,Married,17913,9808,6,Y,Yes,11,3,2,80,3,30,3,2,8,4,0,3
40,No,Travel_Frequently,923,Sales,5,2,Life Sciences,1,88,2,Female,62,3,4,Manager,1,Divorced,5756,18985,3,Y,Yes,12,3,2,80,0,15,1,3,6,2,0,3
32,No,Travel_Rarely,489,Research & Development,1,1,Medical,1,89,3,Female,77,2,1,Manager,4,Married,2720,16474,3,Y,No,13,3,3,80,2,4,1,4,0,0,0,0
42,Yes,Travel_Rarely,1040,Sales,5,3,Medical,1,90,2,Male,76,3,1,Sales Executive,2,Single,2231,16685,4,Y,No,18,3,2,80,2,26,2,3,16,12,5,3
38,No,Non-Travel,1042,Research & Development,1,1,Other,1,91,3,Male,73,3,3,Manufacturing Director,4,Married,5024,16127,4,Y,No,11,3,3,80,2,22,2,3,3,0,0,1
46,No,Travel_Rarely,820,Research & Development,16,4,Medical,1,92,3,Female,62,3,4,Healthcare Representative,3,Married,14366,20035,3,Y,No,24,3,1,80,3,23,2,3,5,3,0,2
30,No,Non-Travel,1139,Human Resources,6,4,Other,1,93,3,Male,74,3,2,Human Resources,3,Married,3512,5697,2,Y,Yes,11,3,4,80,0,12,3,4,6,3,2,3
34,No,Non-Travel,1099,Sales,9,2,Marketing,1,94,2,Male,61,3,3,Manager,2,Married,7636,11674,3,Y,No,11,3,2,80,1,13,3,3,7,5,1,2
33,No,Travel_Rarely,121,Research & Development,7,2,Medical,1,95,2,Female,51,4,3,Research Scientist,3,Single,6815,25468,3,Y,Yes,12,3,3,80,0,16,4,3,6,4,3,2
23,No,Travel_Frequently,746,Human Resources,6,3,Human Resources,1,96,4,Female,55,3,3,Manager,3,Divorced,10238,20386,2,Y,No,11,3,4,80,3,0,2,1,0,0,0,0
40,No,Travel_Rarely,1219,Sales,1,1,Medical,1,97,1,Male,92,1,3,Manager,4,Married,6178,24607,5,Y,No,17,3,2,80,1,24,5,3,3,2,1,2
39,Yes,Travel_Rarely,1318,Sales,16,3,Life Sciences,1,98,3,Male,65,2,3,Sales Executive,3,Married,7347,26800,4,Y,Yes,11,3,3,80,0,9,3,3,3,1,0,1
37,No,Travel_Rarely,1310,Sales,5,3,Technical Degree,1,99,3,Male,39,3,1,Manager,3,Single,3411,13019,4,Y,Yes,11,3,2,80,1,11,2,3,3,2,0,0
35,No,Non-Travel,1058,Research & Development,1,1,Technical Degree,1,100,2,Female,65,3,2,Manager,2,Married,4527,14906,3,Y,No,13,3,1,80,1,16,2,4,13,5,8,8
24,Yes,Travel_Frequently,1106,Research & Development,2,1,Other,1,101,3,Female,83,3,1,Manager,4,Married,1770,22733,1,Y,No,11,3,3,80,0,0,5,2,0,0,0,0
33,Yes,Travel_Frequently,856,Research & Development,1,3,Other,1,102,4,Female,43,3,1,Research Scientist,4,Single,1921,25276,1,Y,No,13,3,1,80,2,5,2,3,1,0,0,0
34,No,Travel_Frequently,757,Research & Development,14,2,Medical,1,103,4,Male,70,3,2,Manufacturing Director,3,Divorced,4552,13756,2,Y,No,11,3,2,80,1,5,4,4,2,1,0,1
29,No,Travel_Rarely,303,Research & Development,3,1,Other,1,104,3,Male,87,4,2,Healthcare Representative,3,Married,4270,26726,1,Y,Yes,18,3,2,80,0,4,2,4,3,1,0,2
35,Yes,Non-Travel,257,Research & Development,3,1,Medical,1,105,1,Female,85,3,1,Laboratory Technician,3,Divorced,3084,21464,1,Y,Yes,15,3,3,80,1,9,0,3,1,0,0,0
41,Yes,Travel_Rarely,650,Human Resources,8,1,Life Sciences,1,106,4,Male,91,3,3,Human Resources,3,Married,4839,20636,3,Y,No,11,3,3,80,1,8,3,4,5,1,3,4
55,No,Travel_Rarely,456,Research & Development,4,2,Other,1,107,2,Female,97,2,4,Manufacturing Director,4,Single,12372,18361,6,Y,No,11,3,3,80,0,36,4,2,11,9,3,8
39,No,Travel_Rarely,1054,Sales,3,1,Marketing,1,108,4,Female,99,2,2,Manager,2,Married,2889,4592,2,Y,Yes,14,3,2,80,1,14,3,1,2,0,0,0
39,No,Travel_Rarely,1457,Research & Development,1,3,Technical Degree,1,109,2,Male,82,4,2,Laboratory Technician,1,Married,3989,13825,5,Y,No,18,4,3,80,0,23,1,1,9,7,4,5
36,No,Travel_Frequently,282,Research & Development,1,2,Medical,1,110,4,Female,63,3,2,Healthcare Representative,2,Married,3332,10839,2,Y,No,13,3,4,80,1,13,2,2,1,0,0,0
19,No,Travel_Rarely,606,Research & Development,1,2,Technical Degree,1,111,2,Male,96,3,1,Manufacturing Director,4,Married,3098,7427,1,Y,No,14,3,3,80,0,0,4,2,0,0,0,0
37,No,Travel_Frequently,1127,Research & Development,18,3,Life Sciences,1,112,2,Female,72,3,4,Laboratory Technician,3,Married,10070,6262,2,Y,Yes,11,3,3,80,1,15,0,3,3,2,0,2
38,No,Travel_Rarely,1386,Research & Development,8,5,Technical Degree,1,113,2,Male,58,4,3,Laboratory Technician,2,Single,4494,3943,4,Y,No,11,4,3,80,3,13,5,4,3,1,0,1
60,No,Travel_Rarely,1314,Research & Development,1,1,Technical Degree,1,114,2,Female,99,3,3,Laboratory Technician,4,Married,7211,18682,7,Y,Yes,14,3,4,80,1,36,4,3,27,14,21,14
35,No,Travel_Rarely,301,Sales,6,1,Marketing,1,115,3,Female,51,4,1,Manager,4,Married,2628,24942,5,Y,No,11,3,4,80,0,16,2,2,5,1,0,2
40,No,Travel_Rarely,835,Human Resources,1,2,Human Resources,1,116,3,Male,50,3,1,Manager,2,Married,4148,2525,5,Y,No,17,3,4,80,1,23,2,3,10,7,3,4
37,No,Travel_Frequently,1395,Research & Development,6,1,Other,1,117,4,Male,37,2,3,Manufacturing Director,4,Single,4451,17675,3,Y,No,14,3,1,80,2,17,2,3,7,1,2,4
26,No,Travel_Rarely,1103,Sales,3,1,Technical Degree,1,118,4,Male,60,3,2,Sales Representative,4,Married,4128,22137,2,Y,No,16,3,1,80,1,0,3,4,0,0,0,0
48,No,Travel_Rarely,1058,Research & Development,6,3,Life Sciences,1,119,2,Male,76,4,4,Healthcare Representative,4,Married,16508,10749,4,Y,No,11,3,3,80,0,19,5,2,7,4,0,3
44,No,Travel_Rarely,1465,Research & Development,2,4,Technical Degree,1,120,4,Female,62,2,3,Healthcare Representative,2,Married,8604,18678,4,Y,No,11,3,2,80,2,24,4,3,11,0,2,8
45,No,Travel_Frequently,556,Research & Development,9,1,Medical,1,121,1,Male,36,2,4,Manager,3,Married,12152,26916,3,Y,Yes,11,3,3,80,0,23,3,3,16,14,2,4
28,No,Travel_Rarely,1470,Human Resources,17,1,Other,1,122,4,Male,78,4,1,Human Resources,3,Married,1954,2499,2,Y,Yes,13,4,4,80,0,10,2,4,5,0,2,1
50,No,Travel_Rarely,205,Research & Development,1,3,Medical,1,123,1,Male,55,3,3,Manager,3,Single,7745,6299,7,Y,No,12,3,4,80,0,26,1,4,3,2,0,0
24,No,Travel_Rarely,1170,Sales,17,2,Marketing,1,124,3,Male,31,2,1,Manager,4,Divorced,4645,5142,1,Y,No,11,3,2,80,0,0,3,1,0,0,0,0
43,Yes,Travel_Rarely,388,Research & Development,7,3,Medical,1,125,2,Female,32,4,2,Research Scientist,3,Married,4728,23107,2,Y,No,12,3,2,80,0,10,4,1,4,1,0,3
58,No,Travel_Rarely,1176,Sales,1,4,Medical,1,126,4,Male,96,1,4,Manager,2,Married,8203,24523,5,Y,No,11,4,4,80,1,34,5,4,19,13,6,8
28,No,Travel_Frequently,134,Research & Development,5,3,Other,1,127,1,Female,66,3,2,Manufacturing Director,4,Married,2920,24038,1,Y,No,11,3,3,80,0,3,6,3,1,0,0,0
32,No,Travel_Frequently,891,Sales,4,2,Medical,1,128,3,Female,84,4,1,Sales Representative,1,Single,3329,7818,4,Y,No,18,3,2,80,0,12,2,1,3,2,1,1
38,No,Travel_Rarely,907,Research & Development,7,3,Technical Degree,1,129,4,Male,30,3,2,Manufacturing Director,2,Married,4187,16434,2,Y,No,11,3,4,80,0,15,6,3,12,2,4,1
32,No,Travel_Frequently,1322,Research & Development,19,2,Medical,1,130,4,Female,69,3,1,Healthcare Representative,3,Married,3869,14358,1,Y,Yes,11,3,4,80,1,0,2,4,0,0,0,0
22,Yes,Travel_Frequently,510,Sales,19,2,Marketing,1,131,2,Male,31,3,1,Sales Representative,4,Married,4079,10434,2,Y,No,13,3,4,80,0,0,3,1,0,0,0,0
38,No,Travel_Rarely,1411,Sales,18,1,Medical,1,132,4,Male,82,3,3,Sales Representative,3,Single,3246,25382,4,Y,No,11,3,2,80,2,14,5,3,8,5,3,6
27,Yes,Travel_Rarely,1418,Research & Development,11,2,Other,1,133,2,Male,58,3,1,Laboratory Technician,3,Married,1914,17707,2,Y,No,13,3,3,80,0,2,2,3,1,0,0,0
41,No,Travel_Rarely,211,Research & Development,11,1,Other,1,134,3,Male,98,3,1,Manufacturing Director,4,Single,1814,14317,1,Y,No,11,3,3,80,0,9,2,1,5,1,0,2
28,No,Travel_Frequently,325,Sales,6,3,Marketing,1,135,2,Female,62,4,3,Manager,1,Divorced,4676,18822,2,Y,No,11,3,1,80,1,10,1,3,5,0,0,3
52,No,Travel_Rarely,1037,Sales,1,1,Life Sciences,1,136,3,Male,56,3,4,Manager,3,Single,8311,3927,6,Y,No,11,3,2,80,1,31,1,3,14,1,2,10
30,No,Travel_Rarely,387,Research & Development,3,1,Other,1,137,2,Male,34,4,2,Laboratory Technician,2,Divorced,7706,25489,3,Y,No,15,3,3,80,0,0,3,3,0,0,0,0
34,No,Travel_Rarely,431,Research & Development,10,1,Technical Degree,1,138,4,Male,46,3,3,Manager,2,Divorced,10109,25909,4,Y,No,12,4,4,80,1,14,3,4,8,0,0,6
45,No,Travel_Rarely,117,Sales,13,1,Other,1,139,3,Male,75,3,2,Sales Representative,4,Married,4005,16959,4,Y,No,17,3,3,80,0,20,4,2,3,1,1,1
25,No,Travel_Rarely,555,Research & Development,11,1,Technical Degree,1,140,2,Female,41,3,3,Manager,1,Divorced,6988,9094,3,Y,No,15,3,2,80,1,3,1,2,1,0,0,0
39,No,Travel_Rarely,673,Sales,5,2,Other,1,141,3,Male,95,2,3,Manager,2,Divorced,5165,15950,2,Y,Yes,11,3,4,80,0,14,3,4,4,2,1,1
